benchmark_id,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_condition,status,error_message,classifier_source_bytes,generated_classifier_source_size_bytes,generated_scanner_source_size_bytes,compiled_instruction_count,classifier_instruction_count,transition_instruction_count,binary_size_bytes
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,same_B,completed,,1164,1164,28113,23,23,8,29416
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,same_B,completed,,1164,1164,28113,20,20,7,29448
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,same_B,completed,,1164,1164,28113,20,20,8,29456
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,same_B,completed,,1164,1164,28113,20,20,8,29456
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,same_B,completed,,1164,1164,28113,20,20,6,29456
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_O2,-O2,same_B,completed,,1569,1569,28523,26,26,8,29488
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_O3,-O3,same_B,completed,,1569,1569,28523,26,26,8,29416
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_Os,-Os,same_B,completed,,1569,1569,28523,19,19,7,29448
BM1,coarse,coarse,off,B5_TREE,clang,clang_O2,-O2,same_B,completed,,1569,1569,28523,21,21,8,29456
BM1,coarse,coarse,off,B5_TREE,clang,clang_O3,-O3,same_B,completed,,1569,1569,28523,21,21,8,29456
BM1,coarse,coarse,off,B5_TREE,clang,clang_Os,-Os,same_B,completed,,1569,1569,28523,21,21,6,29456
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_O2,-O2,same_B,completed,,1702,1702,28659,4,4,8,29696
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_O3,-O3,same_B,completed,,1702,1702,28659,4,4,8,29632
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_Os,-Os,same_B,completed,,1702,1702,28659,1,1,7,29656
BM1,coarse,coarse,off,B5_DAG,clang,clang_O2,-O2,same_B,completed,,1702,1702,28659,3,3,8,29672
BM1,coarse,coarse,off,B5_DAG,clang,clang_O3,-O3,same_B,completed,,1702,1702,28659,3,3,8,29672
BM1,coarse,coarse,off,B5_DAG,clang,clang_Os,-Os,same_B,completed,,1702,1702,28659,1,1,6,29664
BM1,coarse,coarse,off,B1,gcc,gcc_O2,-O2,A_to_B,completed,,1125,1125,28079,5,5,8,29528
BM1,coarse,coarse,off,B1,gcc,gcc_O3,-O3,A_to_B,completed,,1125,1125,28079,5,5,8,29456
BM1,coarse,coarse,off,B1,gcc,gcc_Os,-Os,A_to_B,completed,,1125,1125,28079,4,4,7,29488
BM1,coarse,coarse,off,B1,clang,clang_O2,-O2,A_to_B,completed,,1125,1125,28079,4,4,8,29456
BM1,coarse,coarse,off,B1,clang,clang_O3,-O3,A_to_B,completed,,1125,1125,28079,4,4,8,29456
BM1,coarse,coarse,off,B1,clang,clang_Os,-Os,A_to_B,completed,,1125,1125,28079,4,4,6,25352
BM1,coarse,coarse,off,B2,gcc,gcc_O2,-O2,A_to_B,completed,,951,951,27909,5,5,8,29528
BM1,coarse,coarse,off,B2,gcc,gcc_O3,-O3,A_to_B,completed,,951,951,27909,5,5,8,29456
BM1,coarse,coarse,off,B2,gcc,gcc_Os,-Os,A_to_B,completed,,951,951,27909,4,4,7,29488
BM1,coarse,coarse,off,B2,clang,clang_O2,-O2,A_to_B,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,off,B2,clang,clang_O3,-O3,A_to_B,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,off,B2,clang,clang_Os,-Os,A_to_B,completed,,951,951,27909,4,4,6,25352
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,A_to_B,completed,,1166,1166,32317,26,26,8,29488
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,A_to_B,completed,,1166,1166,32317,26,26,8,29416
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,A_to_B,completed,,1166,1166,32317,20,20,7,29448
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,A_to_B,completed,,1166,1166,32317,17,17,8,29456
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,A_to_B,completed,,1166,1166,32317,17,17,8,29456
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,A_to_B,completed,,1166,1166,32317,17,17,6,29456
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,A_to_B,completed,,1163,1163,28105,26,26,8,29488
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,A_to_B,completed,,1163,1163,28105,26,26,8,29416
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,A_to_B,completed,,1163,1163,28105,19,19,7,29448
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,A_to_B,completed,,1163,1163,28105,20,20,8,29456
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,A_to_B,completed,,1163,1163,28105,20,20,8,29456
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,A_to_B,completed,,1163,1163,28105,20,20,6,29456
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_O2,-O2,A_to_B,completed,,1569,1569,28523,26,26,8,29488
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_O3,-O3,A_to_B,completed,,1569,1569,28523,26,26,8,29416
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_Os,-Os,A_to_B,completed,,1569,1569,28523,19,19,7,29448
BM1,coarse,coarse,off,B5_TREE,clang,clang_O2,-O2,A_to_B,completed,,1569,1569,28523,21,21,8,29456
BM1,coarse,coarse,off,B5_TREE,clang,clang_O3,-O3,A_to_B,completed,,1569,1569,28523,21,21,8,29456
BM1,coarse,coarse,off,B5_TREE,clang,clang_Os,-Os,A_to_B,completed,,1569,1569,28523,21,21,6,29456
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_O2,-O2,A_to_B,completed,,1702,1702,28659,4,4,8,29696
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_O3,-O3,A_to_B,completed,,1702,1702,28659,4,4,8,29632
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_Os,-Os,A_to_B,completed,,1702,1702,28659,1,1,7,29656
BM1,coarse,coarse,off,B5_DAG,clang,clang_O2,-O2,A_to_B,completed,,1702,1702,28659,3,3,8,29672
BM1,coarse,coarse,off,B5_DAG,clang,clang_O3,-O3,A_to_B,completed,,1702,1702,28659,3,3,8,29672
BM1,coarse,coarse,off,B5_DAG,clang,clang_Os,-Os,A_to_B,completed,,1702,1702,28659,1,1,6,29664
BM1,coarse,coarse,off,B1,gcc,gcc_O2,-O2,B_to_A,completed,,1125,1125,28079,5,5,8,29528
BM1,coarse,coarse,off,B1,gcc,gcc_O3,-O3,B_to_A,completed,,1125,1125,28079,5,5,8,29456
BM1,coarse,coarse,off,B1,gcc,gcc_Os,-Os,B_to_A,completed,,1125,1125,28079,4,4,7,29488
BM1,coarse,coarse,off,B1,clang,clang_O2,-O2,B_to_A,completed,,1125,1125,28079,4,4,8,29456
BM1,coarse,coarse,off,B1,clang,clang_O3,-O3,B_to_A,completed,,1125,1125,28079,4,4,8,29456
BM1,coarse,coarse,off,B1,clang,clang_Os,-Os,B_to_A,completed,,1125,1125,28079,4,4,6,25352
BM1,coarse,coarse,off,B2,gcc,gcc_O2,-O2,B_to_A,completed,,951,951,27909,5,5,8,29528
BM1,coarse,coarse,off,B2,gcc,gcc_O3,-O3,B_to_A,completed,,951,951,27909,5,5,8,29456
BM1,coarse,coarse,off,B2,gcc,gcc_Os,-Os,B_to_A,completed,,951,951,27909,4,4,7,29488
BM1,coarse,coarse,off,B2,clang,clang_O2,-O2,B_to_A,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,off,B2,clang,clang_O3,-O3,B_to_A,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,off,B2,clang,clang_Os,-Os,B_to_A,completed,,951,951,27909,4,4,6,25352
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,B_to_A,completed,,1166,1166,32317,26,26,8,29488
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,B_to_A,completed,,1166,1166,32317,26,26,8,29416
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,B_to_A,completed,,1166,1166,32317,20,20,7,29448
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,B_to_A,completed,,1166,1166,32317,17,17,8,29456
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,B_to_A,completed,,1166,1166,32317,17,17,8,29456
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,B_to_A,completed,,1166,1166,32317,17,17,6,29456
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,B_to_A,completed,,1164,1164,28113,23,23,8,29488
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,B_to_A,completed,,1164,1164,28113,23,23,8,29416
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,B_to_A,completed,,1164,1164,28113,20,20,7,29448
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,B_to_A,completed,,1164,1164,28113,20,20,8,29456
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,B_to_A,completed,,1164,1164,28113,20,20,8,29456
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,B_to_A,completed,,1164,1164,28113,20,20,6,29456
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_O2,-O2,B_to_A,completed,,1569,1569,28523,26,26,8,29488
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_O3,-O3,B_to_A,completed,,1569,1569,28523,26,26,8,29416
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_Os,-Os,B_to_A,completed,,1569,1569,28523,19,19,7,29448
BM1,coarse,coarse,off,B5_TREE,clang,clang_O2,-O2,B_to_A,completed,,1569,1569,28523,21,21,8,29456
BM1,coarse,coarse,off,B5_TREE,clang,clang_O3,-O3,B_to_A,completed,,1569,1569,28523,21,21,8,29456
BM1,coarse,coarse,off,B5_TREE,clang,clang_Os,-Os,B_to_A,completed,,1569,1569,28523,21,21,6,29456
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_O2,-O2,B_to_A,completed,,1702,1702,28659,4,4,8,29696
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_O3,-O3,B_to_A,completed,,1702,1702,28659,4,4,8,29632
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_Os,-Os,B_to_A,completed,,1702,1702,28659,1,1,7,29656
BM1,coarse,coarse,off,B5_DAG,clang,clang_O2,-O2,B_to_A,completed,,1702,1702,28659,3,3,8,29672
BM1,coarse,coarse,off,B5_DAG,clang,clang_O3,-O3,B_to_A,completed,,1702,1702,28659,3,3,8,29672
BM1,coarse,coarse,off,B5_DAG,clang,clang_Os,-Os,B_to_A,completed,,1702,1702,28659,1,1,6,29664
BM1,coarse,coarse,off,B1,gcc,gcc_O2,-O2,uniform,completed,,1125,1125,28079,5,5,8,29528
BM1,coarse,coarse,off,B1,gcc,gcc_O3,-O3,uniform,completed,,1125,1125,28079,5,5,8,29456
BM1,coarse,coarse,off,B1,gcc,gcc_Os,-Os,uniform,completed,,1125,1125,28079,4,4,7,29488
BM1,coarse,coarse,off,B1,clang,clang_O2,-O2,uniform,completed,,1125,1125,28079,4,4,8,29456
BM1,coarse,coarse,off,B1,clang,clang_O3,-O3,uniform,completed,,1125,1125,28079,4,4,8,29456
BM1,coarse,coarse,off,B1,clang,clang_Os,-Os,uniform,completed,,1125,1125,28079,4,4,6,25352
BM1,coarse,coarse,off,B2,gcc,gcc_O2,-O2,uniform,completed,,951,951,27909,5,5,8,29528
BM1,coarse,coarse,off,B2,gcc,gcc_O3,-O3,uniform,completed,,951,951,27909,5,5,8,29456
BM1,coarse,coarse,off,B2,gcc,gcc_Os,-Os,uniform,completed,,951,951,27909,4,4,7,29488
BM1,coarse,coarse,off,B2,clang,clang_O2,-O2,uniform,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,off,B2,clang,clang_O3,-O3,uniform,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,off,B2,clang,clang_Os,-Os,uniform,completed,,951,951,27909,4,4,6,25352
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,uniform,completed,,1166,1166,32317,26,26,8,29488
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,uniform,completed,,1166,1166,32317,26,26,8,29416
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,uniform,completed,,1166,1166,32317,20,20,7,29448
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,uniform,completed,,1166,1166,32317,17,17,8,29456
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,uniform,completed,,1166,1166,32317,17,17,8,29456
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,uniform,completed,,1166,1166,32317,17,17,6,29456
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,uniform,completed,,1164,1164,28125,23,23,8,29488
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,uniform,completed,,1164,1164,28125,23,23,8,29416
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,uniform,completed,,1164,1164,28125,20,20,7,29448
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,uniform,completed,,1164,1164,28125,21,21,8,29456
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,uniform,completed,,1164,1164,28125,21,21,8,29456
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,uniform,completed,,1164,1164,28125,21,21,6,29456
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_O2,-O2,uniform,completed,,1569,1569,28523,26,26,8,29488
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_O3,-O3,uniform,completed,,1569,1569,28523,26,26,8,29416
BM1,coarse,coarse,off,B5_TREE,gcc,gcc_Os,-Os,uniform,completed,,1569,1569,28523,19,19,7,29448
BM1,coarse,coarse,off,B5_TREE,clang,clang_O2,-O2,uniform,completed,,1569,1569,28523,21,21,8,29456
BM1,coarse,coarse,off,B5_TREE,clang,clang_O3,-O3,uniform,completed,,1569,1569,28523,21,21,8,29456
BM1,coarse,coarse,off,B5_TREE,clang,clang_Os,-Os,uniform,completed,,1569,1569,28523,21,21,6,29456
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_O2,-O2,uniform,completed,,1702,1702,28659,4,4,8,29696
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_O3,-O3,uniform,completed,,1702,1702,28659,4,4,8,29632
BM1,coarse,coarse,off,B5_DAG,gcc,gcc_Os,-Os,uniform,completed,,1702,1702,28659,1,1,7,29656
BM1,coarse,coarse,off,B5_DAG,clang,clang_O2,-O2,uniform,completed,,1702,1702,28659,3,3,8,29672
BM1,coarse,coarse,off,B5_DAG,clang,clang_O3,-O3,uniform,completed,,1702,1702,28659,3,3,8,29672
BM1,coarse,coarse,off,B5_DAG,clang,clang_Os,-Os,uniform,completed,,1702,1702,28659,1,1,6,29664
BM1,coarse,coarse,on,B1,gcc,gcc_O2,-O2,same_A,completed,,1182,1182,28136,5,5,8,29528
BM1,coarse,coarse,on,B1,gcc,gcc_O3,-O3,same_A,completed,,1182,1182,28136,5,5,8,29456
BM1,coarse,coarse,on,B1,gcc,gcc_Os,-Os,same_A,completed,,1182,1182,28136,4,4,7,29488
BM1,coarse,coarse,on,B1,clang,clang_O2,-O2,same_A,completed,,1182,1182,28136,4,4,8,29456
BM1,coarse,coarse,on,B1,clang,clang_O3,-O3,same_A,completed,,1182,1182,28136,4,4,8,29456
BM1,coarse,coarse,on,B1,clang,clang_Os,-Os,same_A,completed,,1182,1182,28136,4,4,6,25352
BM1,coarse,coarse,on,B2,gcc,gcc_O2,-O2,same_A,completed,,951,951,27909,5,5,8,29528
BM1,coarse,coarse,on,B2,gcc,gcc_O3,-O3,same_A,completed,,951,951,27909,5,5,8,29456
BM1,coarse,coarse,on,B2,gcc,gcc_Os,-Os,same_A,completed,,951,951,27909,4,4,7,29488
BM1,coarse,coarse,on,B2,clang,clang_O2,-O2,same_A,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,on,B2,clang,clang_O3,-O3,same_A,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,on,B2,clang,clang_Os,-Os,same_A,completed,,951,951,27909,4,4,6,25352
BM1,coarse,coarse,on,B3,gcc,gcc_O2,-O2,same_A,completed,,1250,1250,32401,34,34,8,29488
BM1,coarse,coarse,on,B3,gcc,gcc_O3,-O3,same_A,completed,,1250,1250,32401,34,34,8,29416
BM1,coarse,coarse,on,B3,gcc,gcc_Os,-Os,same_A,completed,,1250,1250,32401,23,23,7,29448
BM1,coarse,coarse,on,B3,clang,clang_O2,-O2,same_A,completed,,1250,1250,32401,20,20,8,29456
BM1,coarse,coarse,on,B3,clang,clang_O3,-O3,same_A,completed,,1250,1250,32401,20,20,8,29456
BM1,coarse,coarse,on,B3,clang,clang_Os,-Os,same_A,completed,,1250,1250,32401,20,20,6,29456
BM1,coarse,coarse,on,B4,gcc,gcc_O2,-O2,same_A,completed,,1247,1247,28189,32,32,8,29488
BM1,coarse,coarse,on,B4,gcc,gcc_O3,-O3,same_A,completed,,1247,1247,28189,32,32,8,29416
BM1,coarse,coarse,on,B4,gcc,gcc_Os,-Os,same_A,completed,,1247,1247,28189,22,22,7,29448
BM1,coarse,coarse,on,B4,clang,clang_O2,-O2,same_A,completed,,1247,1247,28189,23,23,8,29456
BM1,coarse,coarse,on,B4,clang,clang_O3,-O3,same_A,completed,,1247,1247,28189,23,23,8,29456
BM1,coarse,coarse,on,B4,clang,clang_Os,-Os,same_A,completed,,1247,1247,28189,23,23,6,29456
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_O2,-O2,same_A,completed,,1766,1766,28720,27,27,8,29488
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_O3,-O3,same_A,completed,,1766,1766,28720,27,27,8,29416
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_Os,-Os,same_A,completed,,1766,1766,28720,23,23,7,29448
BM1,coarse,coarse,on,B5_TREE,clang,clang_O2,-O2,same_A,completed,,1766,1766,28720,24,24,8,29456
BM1,coarse,coarse,on,B5_TREE,clang,clang_O3,-O3,same_A,completed,,1766,1766,28720,24,24,8,29456
BM1,coarse,coarse,on,B5_TREE,clang,clang_Os,-Os,same_A,completed,,1766,1766,28720,24,24,6,29456
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_O2,-O2,same_A,completed,,1876,1876,28833,4,4,8,29728
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_O3,-O3,same_A,completed,,1876,1876,28833,4,4,8,29664
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_Os,-Os,same_A,completed,,1876,1876,28833,1,1,7,29688
BM1,coarse,coarse,on,B5_DAG,clang,clang_O2,-O2,same_A,completed,,1876,1876,28833,3,3,8,29704
BM1,coarse,coarse,on,B5_DAG,clang,clang_O3,-O3,same_A,completed,,1876,1876,28833,3,3,8,29704
BM1,coarse,coarse,on,B5_DAG,clang,clang_Os,-Os,same_A,completed,,1876,1876,28833,1,1,6,29704
BM1,coarse,coarse,on,B1,gcc,gcc_O2,-O2,same_B,completed,,1182,1182,28136,5,5,8,29528
BM1,coarse,coarse,on,B1,gcc,gcc_O3,-O3,same_B,completed,,1182,1182,28136,5,5,8,29456
BM1,coarse,coarse,on,B1,gcc,gcc_Os,-Os,same_B,completed,,1182,1182,28136,4,4,7,29488
BM1,coarse,coarse,on,B1,clang,clang_O2,-O2,same_B,completed,,1182,1182,28136,4,4,8,29456
BM1,coarse,coarse,on,B1,clang,clang_O3,-O3,same_B,completed,,1182,1182,28136,4,4,8,29456
BM1,coarse,coarse,on,B1,clang,clang_Os,-Os,same_B,completed,,1182,1182,28136,4,4,6,25352
BM1,coarse,coarse,on,B2,gcc,gcc_O2,-O2,same_B,completed,,951,951,27909,5,5,8,29528
BM1,coarse,coarse,on,B2,gcc,gcc_O3,-O3,same_B,completed,,951,951,27909,5,5,8,29456
BM1,coarse,coarse,on,B2,gcc,gcc_Os,-Os,same_B,completed,,951,951,27909,4,4,7,29488
BM1,coarse,coarse,on,B2,clang,clang_O2,-O2,same_B,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,on,B2,clang,clang_O3,-O3,same_B,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,on,B2,clang,clang_Os,-Os,same_B,completed,,951,951,27909,4,4,6,25352
BM1,coarse,coarse,on,B3,gcc,gcc_O2,-O2,same_B,completed,,1250,1250,32401,34,34,8,29488
BM1,coarse,coarse,on,B3,gcc,gcc_O3,-O3,same_B,completed,,1250,1250,32401,34,34,8,29416
BM1,coarse,coarse,on,B3,gcc,gcc_Os,-Os,same_B,completed,,1250,1250,32401,23,23,7,29448
BM1,coarse,coarse,on,B3,clang,clang_O2,-O2,same_B,completed,,1250,1250,32401,20,20,8,29456
BM1,coarse,coarse,on,B3,clang,clang_O3,-O3,same_B,completed,,1250,1250,32401,20,20,8,29456
BM1,coarse,coarse,on,B3,clang,clang_Os,-Os,same_B,completed,,1250,1250,32401,20,20,6,29456
BM1,coarse,coarse,on,B4,gcc,gcc_O2,-O2,same_B,completed,,1247,1247,28196,32,32,8,29488
BM1,coarse,coarse,on,B4,gcc,gcc_O3,-O3,same_B,completed,,1247,1247,28196,32,32,8,29416
BM1,coarse,coarse,on,B4,gcc,gcc_Os,-Os,same_B,completed,,1247,1247,28196,22,22,7,29448
BM1,coarse,coarse,on,B4,clang,clang_O2,-O2,same_B,completed,,1247,1247,28196,22,22,8,29456
BM1,coarse,coarse,on,B4,clang,clang_O3,-O3,same_B,completed,,1247,1247,28196,22,22,8,29456
BM1,coarse,coarse,on,B4,clang,clang_Os,-Os,same_B,completed,,1247,1247,28196,22,22,6,29456
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_O2,-O2,same_B,completed,,1766,1766,28720,27,27,8,29488
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_O3,-O3,same_B,completed,,1766,1766,28720,27,27,8,29416
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_Os,-Os,same_B,completed,,1766,1766,28720,23,23,7,29448
BM1,coarse,coarse,on,B5_TREE,clang,clang_O2,-O2,same_B,completed,,1766,1766,28720,24,24,8,29456
BM1,coarse,coarse,on,B5_TREE,clang,clang_O3,-O3,same_B,completed,,1766,1766,28720,24,24,8,29456
BM1,coarse,coarse,on,B5_TREE,clang,clang_Os,-Os,same_B,completed,,1766,1766,28720,24,24,6,29456
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_O2,-O2,same_B,completed,,1876,1876,28833,4,4,8,29728
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_O3,-O3,same_B,completed,,1876,1876,28833,4,4,8,29664
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_Os,-Os,same_B,completed,,1876,1876,28833,1,1,7,29688
BM1,coarse,coarse,on,B5_DAG,clang,clang_O2,-O2,same_B,completed,,1876,1876,28833,3,3,8,29704
BM1,coarse,coarse,on,B5_DAG,clang,clang_O3,-O3,same_B,completed,,1876,1876,28833,3,3,8,29704
BM1,coarse,coarse,on,B5_DAG,clang,clang_Os,-Os,same_B,completed,,1876,1876,28833,1,1,6,29704
BM1,coarse,coarse,on,B1,gcc,gcc_O2,-O2,A_to_B,completed,,1182,1182,28136,5,5,8,29528
BM1,coarse,coarse,on,B1,gcc,gcc_O3,-O3,A_to_B,completed,,1182,1182,28136,5,5,8,29456
BM1,coarse,coarse,on,B1,gcc,gcc_Os,-Os,A_to_B,completed,,1182,1182,28136,4,4,7,29488
BM1,coarse,coarse,on,B1,clang,clang_O2,-O2,A_to_B,completed,,1182,1182,28136,4,4,8,29456
BM1,coarse,coarse,on,B1,clang,clang_O3,-O3,A_to_B,completed,,1182,1182,28136,4,4,8,29456
BM1,coarse,coarse,on,B1,clang,clang_Os,-Os,A_to_B,completed,,1182,1182,28136,4,4,6,25352
BM1,coarse,coarse,on,B2,gcc,gcc_O2,-O2,A_to_B,completed,,951,951,27909,5,5,8,29528
BM1,coarse,coarse,on,B2,gcc,gcc_O3,-O3,A_to_B,completed,,951,951,27909,5,5,8,29456
BM1,coarse,coarse,on,B2,gcc,gcc_Os,-Os,A_to_B,completed,,951,951,27909,4,4,7,29488
BM1,coarse,coarse,on,B2,clang,clang_O2,-O2,A_to_B,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,on,B2,clang,clang_O3,-O3,A_to_B,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,on,B2,clang,clang_Os,-Os,A_to_B,completed,,951,951,27909,4,4,6,25352
BM1,coarse,coarse,on,B3,gcc,gcc_O2,-O2,A_to_B,completed,,1250,1250,32401,34,34,8,29488
BM1,coarse,coarse,on,B3,gcc,gcc_O3,-O3,A_to_B,completed,,1250,1250,32401,34,34,8,29416
BM1,coarse,coarse,on,B3,gcc,gcc_Os,-Os,A_to_B,completed,,1250,1250,32401,23,23,7,29448
BM1,coarse,coarse,on,B3,clang,clang_O2,-O2,A_to_B,completed,,1250,1250,32401,20,20,8,29456
BM1,coarse,coarse,on,B3,clang,clang_O3,-O3,A_to_B,completed,,1250,1250,32401,20,20,8,29456
BM1,coarse,coarse,on,B3,clang,clang_Os,-Os,A_to_B,completed,,1250,1250,32401,20,20,6,29456
BM1,coarse,coarse,on,B4,gcc,gcc_O2,-O2,A_to_B,completed,,1247,1247,28189,32,32,8,29488
BM1,coarse,coarse,on,B4,gcc,gcc_O3,-O3,A_to_B,completed,,1247,1247,28189,32,32,8,29416
BM1,coarse,coarse,on,B4,gcc,gcc_Os,-Os,A_to_B,completed,,1247,1247,28189,22,22,7,29448
BM1,coarse,coarse,on,B4,clang,clang_O2,-O2,A_to_B,completed,,1247,1247,28189,23,23,8,29456
BM1,coarse,coarse,on,B4,clang,clang_O3,-O3,A_to_B,completed,,1247,1247,28189,23,23,8,29456
BM1,coarse,coarse,on,B4,clang,clang_Os,-Os,A_to_B,completed,,1247,1247,28189,23,23,6,29456
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_O2,-O2,A_to_B,completed,,1766,1766,28720,27,27,8,29488
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_O3,-O3,A_to_B,completed,,1766,1766,28720,27,27,8,29416
BM1,coarse,coarse,on,B5_TREE,gcc,gcc_Os,-Os,A_to_B,completed,,1766,1766,28720,23,23,7,29448
BM1,coarse,coarse,on,B5_TREE,clang,clang_O2,-O2,A_to_B,completed,,1766,1766,28720,24,24,8,29456
BM1,coarse,coarse,on,B5_TREE,clang,clang_O3,-O3,A_to_B,completed,,1766,1766,28720,24,24,8,29456
BM1,coarse,coarse,on,B5_TREE,clang,clang_Os,-Os,A_to_B,completed,,1766,1766,28720,24,24,6,29456
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_O2,-O2,A_to_B,completed,,1876,1876,28833,4,4,8,29728
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_O3,-O3,A_to_B,completed,,1876,1876,28833,4,4,8,29664
BM1,coarse,coarse,on,B5_DAG,gcc,gcc_Os,-Os,A_to_B,completed,,1876,1876,28833,1,1,7,29688
BM1,coarse,coarse,on,B5_DAG,clang,clang_O2,-O2,A_to_B,completed,,1876,1876,28833,3,3,8,29704
BM1,coarse,coarse,on,B5_DAG,clang,clang_O3,-O3,A_to_B,completed,,1876,1876,28833,3,3,8,29704
BM1,coarse,coarse,on,B5_DAG,clang,clang_Os,-Os,A_to_B,completed,,1876,1876,28833,1,1,6,29704
BM1,coarse,coarse,on,B1,gcc,gcc_O2,-O2,B_to_A,completed,,1182,1182,28136,5,5,8,29528
